ts_id,cluster,transform,model,fold,auto_params,sMAPE,MASE,RMSE
T2246,0,none,CatBoost_MIMO,0,,1.4688443802576818,0.6329876455572923,111.15197898787726
T909,0,none,CatBoost_MIMO,0,,0.6596118469459654,0.25916933869635755,7.830009356644301
T1345,0,none,CatBoost_MIMO,0,,7.7092387445456,3.1372287070791907,1314.14776690111
T464,0,none,CatBoost_MIMO,0,,0.752947180296662,0.30593661980469017,76.51421709660708
T1310,0,none,CatBoost_MIMO,0,,8.6679990013235,2.0005431912567877,488.85525464882977
T1186,0,none,CatBoost_MIMO,0,,0.9839901518952157,0.47251958176859776,19.056520364308827
T458,0,none,CatBoost_MIMO,0,,1.3069917018517077,0.21645278634021298,52.35535031284042
T2315,0,none,CatBoost_MIMO,0,,4.8816523018854525,1.1838407804623174,493.13782877082775
T1335,0,none,CatBoost_MIMO,0,,6.093763065080808,1.468017913575016,61.239085339734984
T3335,0,none,CatBoost_MIMO,0,,1.144439940925192,0.5528390790711415,204.89645518180376
T3306,0,none,CatBoost_MIMO,0,,1.265591935252104,0.9910214259502087,230.8847737735727
T2631,0,none,CatBoost_MIMO,0,,2.276098299523079,1.066866316751715,299.1892241450406
T565,0,none,CatBoost_MIMO,0,,6.364444066519286,2.091436519186246,94.62784841556554
T1558,0,none,CatBoost_MIMO,0,,3.376613124733015,1.5733072393066405,52.04891006676905
T2078,0,none,CatBoost_MIMO,0,,3.4662742154652024,2.1760739809304335,746.2074159548055
T1069,0,none,CatBoost_MIMO,0,,0.8001613304959153,0.4476634139058526,139.11381383571842
T151,0,none,CatBoost_MIMO,0,,2.5855501984614504,1.5188100405470961,173.31703744737305
T2563,0,none,CatBoost_MIMO,0,,2.585482366137774,0.9305654339500034,307.0772502949
T2391,0,none,CatBoost_MIMO,0,,2.9746564746720217,1.4700767786824165,441.8327886165153
T2501,0,none,CatBoost_MIMO,0,,2.44007686616424,0.6992672730580708,23.246118908200465
T2537,0,none,CatBoost_MIMO,0,,1.563824824214002,0.48800249558674547,60.09163885247112
T1362,0,none,CatBoost_MIMO,0,,5.578320736875187,1.952998310704451,615.8759785277663
T2551,0,none,CatBoost_MIMO,0,,1.559854806166765,0.6661627374481782,229.95003075677016
T545,0,none,CatBoost_MIMO,0,,7.090118111290729,3.088332159457781,119.64923462897808
T1565,0,none,CatBoost_MIMO,0,,3.4962679894017,1.8726161310415537,50.849858769583314
T2257,0,none,CatBoost_MIMO,0,,8.015731420027935,1.733350266223115,393.49789144779896
T158,0,none,CatBoost_MIMO,0,,4.503775289307812,1.7167159483950578,61.002747820393665
T3415,0,none,CatBoost_MIMO,0,,3.7352428620430036,0.9496864494745617,295.66527868036803
T644,0,none,CatBoost_MIMO,0,,1.2882367596264468,0.6196260922687424,21.78822101099358
T2677,0,none,CatBoost_MIMO,0,,1.6273053963801989,0.8271002462901068,150.08847185553466
T2513,0,none,CatBoost_MIMO,0,,0.7188665715489008,0.4880408942673918,122.08393425972977
T1433,0,none,CatBoost_MIMO,0,,0.5429267910518195,0.325453782186043,91.43862599289523
T2267,0,none,CatBoost_MIMO,0,,1.8296342781032144,0.8381093868888944,231.7337691373535
T2045,0,none,CatBoost_MIMO,0,,8.631263528575072,4.238139737127385,174.14424559883565
T970,0,none,CatBoost_MIMO,0,,3.3999188898281996,0.7371270838426035,27.584251311176658
T3053,0,none,CatBoost_MIMO,0,,1.1393803575844363,0.5361673323795065,230.80194525299208
T2410,0,none,CatBoost_MIMO,0,,0.9786822396400879,0.28685809194357625,81.07698564681196
T3124,0,none,CatBoost_MIMO,0,,1.2312670725713044,0.7116148793046072,243.4193238342153
T2358,0,none,CatBoost_MIMO,0,,5.470876794803335,2.287500539959018,399.46086415083505
